ID	Name	Read1	Read2	ProbeName	ProbePath	CellNum
1	GATA1v3-1	/PROJECT/fastq/GATA1v3-1-read-1.fastq.gz	/PROJECT/fastq/GATA1v3-1-read-2.fastq.gz	ProbeListExample	/CODE/example/ProbeListExample.txt	Guess
2	GATA1v3-2	/PROJECT/fastq/GATA1v3-2-read-1.fastq.gz	/PROJECT/fastq/GATA1v3-2-read-2.fastq.gz	ProbeListExample	/CODE/example/ProbeListExample.txt	Guess
3	hESC-1	/PROJECT/fastq/hESC-1-read-1.fastq.gz	/PROJECT/fastq/hESC-1-read-2.fastq.gz	ProbeListExample	/CODE/example/ProbeListExample.txt	Guess
4	hESC-2	/PROJECT/fastq/hESC-2-read-1.fastq.gz	/PROJECT/fastq/hESC-2-read-2.fastq.gz	ProbeListExample	/CODE/example/ProbeListExample.txt	Guess
5	24-1	/PROJECT/fastq/24-1-read-1.fastq.gz	/PROJECT/fastq/24-1-read-2.fastq.gz	ProbeListExample	/CODE/example/ProbeListExample.txt	Guess
6	24-2	/PROJECT/fastq/24-2-read-1.fastq.gz	/PROJECT/fastq/24-2-read-2.fastq.gz	ProbeListExample	/CODE/example/ProbeListExample.txt	Guess
7	24-3	/PROJECT/fastq/24-3-read-1.fastq.gz	/PROJECT/fastq/24-3-read-2.fastq.gz	ProbeListExample	/CODE/example/ProbeListExample.txt	Guess
8	24-4	/PROJECT/fastq/24-4-read-1.fastq.gz	/PROJECT/fastq/24-4-read-2.fastq.gz	ProbeListExample	/CODE/example/ProbeListExample.txt	Guess
